Distance to stream
9,104060173
1,314389944
7,253580093
2,651890039
8,839730263
9,027850151
6,331210136
5,58604002
1,07325995
11,14280033
0,380053997
2,565259933
4,82490015
9,480529785
6,202280045
0,245801002
4,623250008
12,77190018
7,924670219
3,432899952
2,519309998
5,84002018
0,403748006
26,62380028
5,517350197
3,986520052
4,819159985
14,92039967
11,58409977
11,42850018
8,539199829
14,41849995
33,70500183
32,89179993
1,824200034
18,95709991
0,344229013
3,700740099
4,235420227
11,46210003
16,22750092
12,49810028
9,311490059
17,72050095
17,64970016
7,05302
17,24419975
18,02779961
10,66539955
11,02499962
0,818139017
8,520359993
7,681630135
9,662260056
4,693860054
6,965690136
1,977679968
7,097809792
10,17160034
7,404689789
2,296829939
6,904520035
1,641250014
15,62889957
12,63199997
11,52760029
14,31879997
16,39920044
15,81830025
12,18519974
13,73139954
14,18330002
4,71104002
3,810480118
6,604929924
4,613540173
1,740859985
15,74160004
11,24090004
7,253799915
9,373820305
1,616109967
7,380970001
2,944240093
7,527999878
10,08230019
13,03960037
14,75
15,00389957
12,73079967
7,760350227
6,702250004
16,17970085
0,559966028
7,501039982
0,895705998
6,746329784
10,89939976
8,429180145
13,46370029
10,74139977
14,73910046
10,18029976
18,89909935
13,14309978
21,13479996
25,61100006
22,38459969
28,24430084
31,14669991
43,13059998
45,88610077
37,01660156
25,11009979
18,89940071
41,15589905
30,10390091
20,36499977
17,86870003
9,407139778
5,865280151
4,509419918
12,40610027
10,48890018
0,459509999
1,187119961
0,468926013
7,947559834
14,3270998
12,18719959
22,5121994
14,26249981
16,39550018
11,50139999
14,53989983
71,29920197
81,25340271
66,23899841
72,67489624
74,60549927
